# Sample Network Traffic Dataset
# Format: timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_recv,duration,label
# 
# This sample data demonstrates various attack patterns that AI-NIDS can detect:
# - DDoS attacks with high volume traffic
# - Port scanning with sequential port access
# - Brute force attempts with multiple failed connections
# - Data exfiltration with unusual outbound traffic
# - C2 communication with beaconing patterns

2024-12-09 08:15:23,192.168.1.100,8.8.8.8,54321,443,HTTPS,1024,5120,1.5,BENIGN
2024-12-09 08:15:24,192.168.1.105,1.1.1.1,52341,53,DNS,128,512,0.05,BENIGN
2024-12-09 08:15:25,185.220.101.42,192.168.1.10,12345,80,HTTP,50000,1024,0.1,DDoS
2024-12-09 08:15:26,185.220.101.42,192.168.1.10,12346,80,HTTP,50000,1024,0.1,DDoS
2024-12-09 08:15:27,185.220.101.42,192.168.1.10,12347,80,HTTP,50000,1024,0.1,DDoS
2024-12-09 08:15:28,45.33.32.156,192.168.1.25,45678,22,SSH,256,128,5.0,Brute_Force
2024-12-09 08:15:29,45.33.32.156,192.168.1.25,45679,22,SSH,256,128,5.0,Brute_Force
2024-12-09 08:15:30,45.33.32.156,192.168.1.25,45680,22,SSH,256,128,5.0,Brute_Force
2024-12-09 08:15:31,89.248.165.12,192.168.1.50,32100,21,FTP,512,256,2.0,Port_Scan
2024-12-09 08:15:32,89.248.165.12,192.168.1.50,32100,22,SSH,512,256,2.0,Port_Scan
2024-12-09 08:15:33,89.248.165.12,192.168.1.50,32100,23,TELNET,512,256,2.0,Port_Scan
2024-12-09 08:15:34,89.248.165.12,192.168.1.50,32100,25,SMTP,512,256,2.0,Port_Scan
2024-12-09 08:15:35,192.168.1.150,104.244.72.115,48123,443,HTTPS,500000,10240,30.0,Data_Exfiltration
2024-12-09 08:15:36,192.168.1.200,171.25.193.20,55555,8080,HTTP,512,256,3600.0,C2_Beacon
2024-12-09 08:16:00,192.168.1.200,171.25.193.20,55556,8080,HTTP,512,256,0.5,C2_Beacon
2024-12-09 08:16:30,192.168.1.200,171.25.193.20,55557,8080,HTTP,512,256,0.5,C2_Beacon
2024-12-09 08:17:00,192.168.1.200,171.25.193.20,55558,8080,HTTP,512,256,0.5,C2_Beacon
2024-12-09 08:17:30,192.168.1.200,171.25.193.20,55559,8080,HTTP,512,256,0.5,C2_Beacon
2024-12-09 08:18:00,192.168.1.105,142.250.185.46,43210,443,HTTPS,2048,10240,2.0,BENIGN
2024-12-09 08:18:05,192.168.1.100,157.240.1.35,54322,443,HTTPS,4096,20480,3.5,BENIGN
